Start_Node_Cords,End_Node_Cords,Via_Cords
No Coords,No Coords,"-3.4945126,36.7997101"
No Coords,No Coords,No Coords
"-3.3252822,36.6013499",No Coords,No Coords
"-3.3620142,36.6835385",No Coords,No Coords
"-3.3617878,36.6961311",No Coords,No Coords
No Coords,"-3.3761311,36.7186557",No Coords
"-3.3229522,36.6839009",No Coords,No Coords
No Coords,"-3.11667,36.88333",No Coords
No Coords,"-3.32995745,36.7493912221","-3.3596713,36.7394448"
"-3.36846335,36.6227938727","-3.3108707,36.6396955",No Coords
No Coords,No Coords,No Coords
"-3.2,36.41667",No Coords,No Coords
No Coords,"-3.5246922,36.8833179",No Coords
No Coords,No Coords,No Coords
No Coords,No Coords,No Coords
No Coords,No Coords,No Coords
"-3.2,36.41667","-3.45,36.53333",No Coords
No Coords,"-3.23333,36.56667",No Coords
No Coords,No Coords,No Coords
No Coords,No Coords,No Coords
No Coords,No Coords,No Coords
"-3.3108707,36.6396955","-3.3254976,36.649558595",No Coords
"-3.3108707,36.6396955",No Coords,No Coords
"-3.3617878,36.6961311","-3.34975745,36.6941375282",No Coords
"-3.3617878,36.6961311",No Coords,No Coords
No Coords,"-3.23333,36.56667",No Coords
No Coords,"-3.3372352,36.7357687",No Coords
No Coords,No Coords,No Coords
No Coords,"-3.3678507,36.7161318",No Coords
No Coords,No Coords,No Coords
"-3.3711844,36.6935164",No Coords,No Coords
No Coords,No Coords,No Coords
No Coords,No Coords,No Coords
No Coords,No Coords,No Coords
No Coords,"-3.2,36.41667",No Coords
No Coords,"-3.35,36.76667",No Coords
No Coords,No Coords,No Coords
No Coords,No Coords,No Coords
No Coords,No Coords,No Coords
"-3.3728441,36.8217553","-3.33333,36.8",No Coords
No Coords,No Coords,No Coords
No Coords,"-3.3891799,36.9451224",No Coords
"-3.3891799,36.9451224","-3.5268727,36.9518947",No Coords
"-3.5515603,36.9164924",No Coords,No Coords
No Coords,"-3.4283294,36.8310108",No Coords
No Coords,No Coords,"-3.2795173,36.9742454"
"-3.2795173,36.9742454",No Coords,No Coords
No Coords,No Coords,No Coords
No Coords,No Coords,No Coords
No Coords,No Coords,No Coords
No Coords,"-3.35,36.76667",No Coords
